Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-11,63.166,64.409,63.007,63.853,2446264,0.0,0.0
2018-01-12,64.117,64.117,62.944,63.236,2248145,0.0,0.0
2018-01-16,63.777,63.812,62.458,62.653,1870984,0.0,0.0
2018-01-17,62.798,62.972,62.292,62.597,1502716,0.0,0.0
2018-01-18,62.41,63.25,62.16,62.701,1595266,0.0,0.0
2018-01-19,63.027,63.201,62.555,63.118,1473585,0.0,0.0
2018-01-22,62.972,63.048,61.965,62.361,1543191,0.0,0.0
2018-01-23,63.361,63.756,62.701,63.701,2118858,0.0,0.0
2018-01-24,63.992,64.791,63.645,63.847,2248918,0.0,0.0
2018-01-25,64.312,64.312,63.076,63.562,1380906,0.0,0.0
2018-01-26,63.854,65.152,63.513,65.124,2087407,0.0,0.0
2018-01-29,64.992,66.054,64.964,65.158,2670808,0.0,0.0
2018-01-30,64.839,65.207,63.708,64.228,3238613,0.0,0.0
2018-01-31,64.811,65.79,63.381,65.686,5681268,0.0,0.0
2018-02-01,65.492,67.796,65.422,67.053,4684226,0.0,0.0
2018-02-02,66.616,66.963,65.998,66.109,3353076,0.0,0.0
2018-02-05,65.624,66.137,62.715,62.84,4884408,0.0,0.0
2018-02-06,61.577,64.062,60.966,63.687,3909021,0.0,0.0
2018-02-07,63.673,64.978,63.27,63.298,2719532,0.0,0.0
2018-02-08,63.257,63.361,60.765,60.806,2721724,0.0,0.0
2018-02-09,61.577,62.389,59.522,61.889,3031341,0.0,0.0
2018-02-12,62.389,63.673,62.243,63.104,1914036,0.0,0.0
2018-02-13,62.507,63.104,62.215,62.653,1510966,0.0,0.0
2018-02-14,62.257,62.979,62.007,62.743,2387486,0.0,0.0
2018-02-15,63.347,64.11,62.382,63.867,2036491,0.0,0.0
2018-02-16,63.673,64.721,63.021,63.187,2527987,0.0,0.0
2018-02-20,62.812,63.305,62.264,62.5,2125819,0.0,0.0
2018-02-21,62.611,63.34,61.986,62.479,3847923,0.0,0.0
2018-02-22,62.882,63.583,62.542,62.687,1669384,0.0,0.0
2018-02-23,63.152,63.263,62.174,62.576,2002461,0.0,0.0
2018-02-26,62.673,63.152,61.924,62.923,2785142,0.0,0.0
2018-02-27,62.979,63.701,62.528,62.528,1992923,0.0,0.0
2018-02-28,62.847,63.437,61.632,61.639,2341726,0.0,0.0
2018-03-01,61.764,61.813,59.564,59.605,3435830,0.0,0.0
2018-03-02,59.071,60.091,58.342,59.897,3684220,0.0,0.0
2018-03-05,59.571,60.133,59.029,59.848,4578786,0.0,0.0
2018-03-06,60.23,61.014,59.661,60.383,2540103,0.0,0.0
2018-03-07,59.543,60.737,59.536,60.549,2568075,0.0,0.0
2018-03-08,60.842,61.156,60.41,61.038,2516128,0.349,0.0
2018-03-09,61.582,62.545,61.31,62.538,2601202,0.0,0.0
2018-03-12,62.552,62.768,61.331,61.456,1772504,0.0,0.0
2018-03-13,61.77,62.343,61.268,61.568,1814396,0.0,0.0
2018-03-14,62.008,62.231,61.261,61.624,1813365,0.0,0.0
2018-03-15,61.75,63.019,61.484,62.95,3031341,0.0,0.0
2018-03-16,62.901,62.936,62.07,62.433,2991898,0.0,0.0
2018-03-19,62.294,62.377,61.142,61.763,1217847,0.0,0.0
2018-03-20,61.952,62.81,61.847,62.07,1450641,0.0,0.0
2018-03-21,62.203,62.859,61.994,62.091,1752782,0.0,0.0
2018-03-22,61.394,61.394,59.901,60.061,1643475,0.0,0.0
2018-03-23,60.256,60.256,58.338,58.512,2009551,0.0,0.0
2018-03-26,59.342,60.201,58.847,60.124,1962631,0.0,0.0
2018-03-27,60.41,60.577,58.993,59.307,1656623,0.0,0.0
2018-03-28,59.377,59.761,58.331,58.575,1812850,0.0,0.0
2018-03-29,58.938,60.194,58.938,59.663,1283200,0.0,0.0
2018-04-02,59.412,59.782,57.165,58.017,1955026,0.0,0.0
2018-04-03,58.261,58.973,57.779,58.945,1467140,0.0,0.0
2018-04-04,57.486,59.44,57.312,59.335,1799831,0.0,0.0
2018-04-05,60.305,60.354,59.524,59.914,1931824,0.0,0.0
2018-04-06,59.217,59.614,57.382,58.045,2383361,0.0,0.0
2018-04-09,58.393,58.693,57.633,57.745,2063947,0.0,0.0
2018-04-10,58.414,59.377,58.233,58.903,1397018,0.0,0.0
2018-04-11,58.338,58.617,58.052,58.324,956309,0.0,0.0
2018-04-12,58.666,59.14,58.652,58.819,1286938,0.0,0.0
2018-04-13,59.266,59.517,58.4,58.7,1212949,0.0,0.0
2018-04-16,59.28,59.468,58.826,59.3,1316327,0.0,0.0
2018-04-17,59.656,60.284,59.566,60.047,1824837,0.0,0.0
2018-04-18,60.431,60.808,60.173,60.256,1309237,0.0,0.0
2018-04-19,60.242,60.305,58.331,58.952,3034693,0.0,0.0
